,date,dcoilwtico
0,2013-01-01,93.14
1,2013-01-02,93.14
2,2013-01-03,92.97
3,2013-01-04,93.12
4,2013-01-07,93.2
5,2013-01-08,93.21
6,2013-01-09,93.08
7,2013-01-10,93.81
8,2013-01-11,93.6
9,2013-01-14,94.27
10,2013-01-15,93.26
11,2013-01-16,94.28
12,2013-01-17,95.49
13,2013-01-18,95.61
14,2013-01-21,95.61
15,2013-01-22,96.09
16,2013-01-23,95.06
17,2013-01-24,95.35
18,2013-01-25,95.15
19,2013-01-28,95.95
20,2013-01-29,97.62
21,2013-01-30,97.98
22,2013-01-31,97.65
23,2013-02-01,97.46
24,2013-02-04,96.21
25,2013-02-05,96.68
26,2013-02-06,96.44
27,2013-02-07,95.84
28,2013-02-08,95.71
29,2013-02-11,97.01
30,2013-02-12,97.48
31,2013-02-13,97.03
32,2013-02-14,97.3
33,2013-02-15,95.95
34,2013-02-18,95.95
35,2013-02-19,96.69
36,2013-02-20,94.92
37,2013-02-21,92.79
38,2013-02-22,93.12
39,2013-02-25,92.74
40,2013-02-26,92.63
41,2013-02-27,92.84
42,2013-02-28,92.03
43,2013-03-01,90.71
44,2013-03-04,90.13
45,2013-03-05,90.88
46,2013-03-06,90.47
47,2013-03-07,91.53
48,2013-03-08,92.01
49,2013-03-11,92.07
50,2013-03-12,92.44
51,2013-03-13,92.47
52,2013-03-14,93.03
53,2013-03-15,93.49
54,2013-03-18,93.71
55,2013-03-19,92.44
56,2013-03-20,93.21
57,2013-03-21,92.46
58,2013-03-22,93.41
59,2013-03-25,94.55
60,2013-03-26,95.99
61,2013-03-27,96.53
62,2013-03-28,97.24
63,2013-03-29,97.24
64,2013-04-01,97.1
65,2013-04-02,97.23
66,2013-04-03,95.02
67,2013-04-04,93.26
68,2013-04-05,92.76
69,2013-04-08,93.36
70,2013-04-09,94.18
71,2013-04-10,94.59
72,2013-04-11,93.44
73,2013-04-12,91.23
74,2013-04-15,88.75
75,2013-04-16,88.73
76,2013-04-17,86.65
77,2013-04-18,87.83
78,2013-04-19,88.04
79,2013-04-22,88.81
80,2013-04-23,89.21
81,2013-04-24,91.07
82,2013-04-25,93.27
83,2013-04-26,92.63
84,2013-04-29,94.09
85,2013-04-30,93.22
86,2013-05-01,90.74
87,2013-05-02,93.7
88,2013-05-03,95.25
89,2013-05-06,95.8
90,2013-05-07,95.28
91,2013-05-08,96.24
92,2013-05-09,96.09
93,2013-05-10,95.81
94,2013-05-13,94.76
95,2013-05-14,93.96
96,2013-05-15,93.95
97,2013-05-16,94.85
98,2013-05-17,95.72
99,2013-05-20,96.29
100,2013-05-21,95.55
101,2013-05-22,93.98
102,2013-05-23,94.12
103,2013-05-24,93.84
104,2013-05-27,93.84
105,2013-05-28,94.65
106,2013-05-29,93.13
107,2013-05-30,93.57
108,2013-05-31,91.93
109,2013-06-03,93.41
110,2013-06-04,93.36
111,2013-06-05,93.66
112,2013-06-06,94.71
113,2013-06-07,96.11
114,2013-06-10,95.82
115,2013-06-11,95.5
116,2013-06-12,95.98
117,2013-06-13,96.66
118,2013-06-14,97.83
119,2013-06-17,97.86
120,2013-06-18,98.46
121,2013-06-19,98.24
122,2013-06-20,94.89
123,2013-06-21,93.81
124,2013-06-24,95.07
125,2013-06-25,95.25
126,2013-06-26,95.47
127,2013-06-27,97.0
128,2013-06-28,96.36
129,2013-07-01,97.94
130,2013-07-02,99.65
131,2013-07-03,101.92
132,2013-07-04,101.92
133,2013-07-05,103.09
134,2013-07-08,103.03
135,2013-07-09,103.46
136,2013-07-10,106.41
137,2013-07-11,104.77
138,2013-07-12,105.85
139,2013-07-15,106.2
140,2013-07-16,105.88
141,2013-07-17,106.39
142,2013-07-18,107.94
143,2013-07-19,108.0
144,2013-07-22,106.61
145,2013-07-23,107.13
146,2013-07-24,105.41
147,2013-07-25,105.47
148,2013-07-26,104.76
149,2013-07-29,104.61
150,2013-07-30,103.14
151,2013-07-31,105.1
152,2013-08-01,107.93
153,2013-08-02,106.94
154,2013-08-05,106.61
155,2013-08-06,105.32
156,2013-08-07,104.41
157,2013-08-08,103.45
158,2013-08-09,106.04
159,2013-08-12,106.19
160,2013-08-13,106.78
161,2013-08-14,106.89
