,date,dcoilwtico,7_avg_oil,30_avg_oil,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_14,lag_28,lag_60,lag_120,lag_180,lag_365
0,1/1/2013,93.14,,,,,,,,,,,,,,,
1,1/2/2013,93.14,,,93.14,,,,,,,,,,,,
2,1/3/2013,92.97,,,93.14,93.14,,,,,,,,,,,
3,1/4/2013,93.12,,,92.97,93.14,93.14,,,,,,,,,,
4,1/7/2013,93.2,,,93.12,92.97,93.14,93.14,,,,,,,,,
5,1/8/2013,93.21,,,93.2,93.12,92.97,93.14,93.14,,,,,,,,
6,1/9/2013,93.08,93.12285714,,93.21,93.2,93.12,92.97,93.14,93.14,,,,,,,
7,1/10/2013,93.81,93.21857143,,93.08,93.21,93.2,93.12,92.97,93.14,93.14,,,,,,
8,1/11/2013,93.6,93.28428571,,93.81,93.08,93.21,93.2,93.12,92.97,93.14,,,,,,
9,1/14/2013,94.27,93.47,,93.6,93.81,93.08,93.21,93.2,93.12,92.97,,,,,,
10,1/15/2013,93.26,93.49,,94.27,93.6,93.81,93.08,93.21,93.2,93.12,,,,,,
11,1/16/2013,94.28,93.64428571,,93.26,94.27,93.6,93.81,93.08,93.21,93.2,,,,,,
12,1/17/2013,95.49,93.97,,94.28,93.26,94.27,93.6,93.81,93.08,93.21,,,,,,
13,1/18/2013,95.61,94.33142857,,95.49,94.28,93.26,94.27,93.6,93.81,93.08,,,,,,
14,1/21/2013,95.61,94.58857143,,95.61,95.49,94.28,93.26,94.27,93.6,93.81,93.14,,,,,
15,1/22/2013,96.09,94.94428571,,95.61,95.61,95.49,94.28,93.26,94.27,93.6,93.14,,,,,
16,1/23/2013,95.06,95.05714286,,96.09,95.61,95.61,95.49,94.28,93.26,94.27,92.97,,,,,
17,1/24/2013,95.35,95.35571429,,95.06,96.09,95.61,95.61,95.49,94.28,93.26,93.12,,,,,
18,1/25/2013,95.15,95.48,,95.35,95.06,96.09,95.61,95.61,95.49,94.28,93.2,,,,,
19,1/28/2013,95.95,95.54571429,,95.15,95.35,95.06,96.09,95.61,95.61,95.49,93.21,,,,,
20,1/29/2013,97.62,95.83285714,,95.95,95.15,95.35,95.06,96.09,95.61,95.61,93.08,,,,,
21,1/30/2013,97.98,96.17142857,,97.62,95.95,95.15,95.35,95.06,96.09,95.61,93.81,,,,,
22,1/31/2013,97.65,96.39428571,,97.98,97.62,95.95,95.15,95.35,95.06,96.09,93.6,,,,,
23,2/1/2013,97.46,96.73714286,,97.65,97.98,97.62,95.95,95.15,95.35,95.06,94.27,,,,,
24,2/4/2013,96.21,96.86,,97.46,97.65,97.98,97.62,95.95,95.15,95.35,93.26,,,,,
25,2/5/2013,96.68,97.07857143,,96.21,97.46,97.65,97.98,97.62,95.95,95.15,94.28,,,,,
26,2/6/2013,96.44,97.14857143,,96.68,96.21,97.46,97.65,97.98,97.62,95.95,95.49,,,,,
27,2/7/2013,95.84,96.89428571,,96.44,96.68,96.21,97.46,97.65,97.98,97.62,95.61,,,,,
28,2/8/2013,95.71,96.57,,95.84,96.44,96.68,96.21,97.46,97.65,97.98,95.61,93.14,,,,
29,2/11/2013,97.01,96.47857143,95.133,95.71,95.84,96.44,96.68,96.21,97.46,97.65,96.09,93.14,,,,
30,2/12/2013,97.48,96.48142857,95.27766667,97.01,95.71,95.84,96.44,96.68,96.21,97.46,95.06,92.97,,,,
31,2/13/2013,97.03,96.59857143,95.40733333,97.48,97.01,95.71,95.84,96.44,96.68,96.21,95.35,93.12,,,,
32,2/14/2013,97.3,96.68714286,95.55166667,97.03,97.48,97.01,95.71,95.84,96.44,96.68,95.15,93.2,,,,
33,2/15/2013,95.95,96.61714286,95.646,97.3,97.03,97.48,97.01,95.71,95.84,96.44,95.95,93.21,,,,
34,2/18/2013,95.95,96.63285714,95.73766667,95.95,97.3,97.03,97.48,97.01,95.71,95.84,97.62,93.08,,,,
35,2/19/2013,96.69,96.77285714,95.85366667,95.95,95.95,97.3,97.03,97.48,97.01,95.71,97.98,93.81,,,,
36,2/20/2013,94.92,96.47428571,95.915,96.69,95.95,95.95,97.3,97.03,97.48,97.01,97.65,93.6,,,,
37,2/21/2013,92.79,95.80428571,95.881,94.92,96.69,95.95,95.95,97.3,97.03,97.48,97.46,94.27,,,,
38,2/22/2013,93.12,95.24571429,95.865,92.79,94.92,96.69,95.95,95.95,97.3,97.03,96.21,93.26,,,,
39,2/25/2013,92.74,94.59428571,95.814,93.12,92.79,94.92,96.69,95.95,95.95,97.3,96.68,94.28,,,,
40,2/26/2013,92.63,94.12,95.793,92.74,93.12,92.79,94.92,96.69,95.95,95.95,96.44,95.49,,,,
